Year,Public,Private,PublicElem,PublicSec,PrivateElem,PrivateSec
1889,12723,1611,12520,203,1516,95
1899,15503,1352,14984,519,1241,111
1909,17814,1558,16899,915,1441,117
1919,21578,1699,19378,2200,1486,214
1929,25678,2651,21279,4399,2310,341
1939,25434,2611,18832,6601,2153,458
1949,25111,3380,19387,5725,2708,672
1959,35182,5675,26911,8271,4640,1035
1969,45550,5500,32513,13037,4200,1300
1979,41651,5000,28034,13616,3700,1300
1980,40877,5331,27647,13231,3992,1339
1981,40044,5500,27280,12764,4100,1400
1982,39566,5600,27161,12405,4200,1400
1983,39252,5715,26981,12271,4315,1400
1984,39208,5700,26905,12304,4300,1400
1985,39422,5557,27034,12388,4195,1362
1986,39753,5452,27420,12333,4116,1336
1987,40008,5479,27933,12076,4232,1247
1988,40189,5242,28501,11687,4036,1206
1989,40543,5599,29150,11393,4468,1131
1990,41217,5648,29876,11341,4512,1136
1991,42047,5681,30503,11544,4550,1131
1992,42823,5870,31086,11737,4746,1125
1993,43465,6067,31502,11963,4950,1118
1994,44111,5994,31896,12215,4856,1138
1995,44840,5918,32338,12502,4756,1163
1996,45611,5933,32762,12849,4755,1178
1997,46127,5944,33071,13056,4759,1185
1998,46539,5988,33344,13195,4776,1212
1999,46857,6018,33486,13371,4789,1229
2000,47204,6169,33686,13517,4906,1264
2001,47672,6320,33936,13736,5023,1296
2002,48183,6220,34114,14069,4915,1306
2003,48540,6099,34201,14339,4788,1311
2004,48795,6087,34178,14618,4756,1331
2005,49113,6073,34204,14909,4724,1349
2006,49316,5991,34235,15081,4631,1360
2007,49293,5910,34205,15087,4546,1364
2008,49266,5707,34286,14980,4365,1342
2009,49361,5488,34409,14952,4179,1309
2010,49484,5391,34625,14860,4091,1300
2011,49636,5320,34849,14787,4060,1260
2012,49828,5263,35076,14752,4039,1224
2013,50067,5221,35301,14766,4033,1188
2014,50407,5192,35502,14905,4037,1155
2015,50773,5183,35735,15038,4053,1130
2016,51146,5185,36029,15116,4085,1100
2017,51524,5198,36329,15195,4122,1076
2018,51880,5218,36639,15241,4158,1061
2019,52260,5247,36956,15304,4193,1054
2020,52688,5287,37278,15410,4228,1059
2021,53113,5331,37598,15515,4263,1068
