State,American Indian,Asian,Hispanic,Black,White
AL,5777,6646,15148,265444,436808
AK,34874,8719,5200,6259,78881
AZ,66906,22307,376230,48970,497655
AR,2541,5165,24125,104816,317876
CA,52706,704678,2898328,510697,2046283
CO,8977,23548,191763,44063,488561
CT,1909,18248,83603,78276,392022
DE,366,3092,9286,37508,67416
FL,7679,52986,571148,629123,1326692
GA,2386,38487,105776,582569,793393
HI,931,132969,8259,4381,37069
ID,4019,3710,30249,2182,211877
IL,4082,75865,370942,444290,1205782
IN,2476,10921,48249,125108,824316
IA,2835,8702,23661,21687,424341
KS,6678,10639,50869,41022,354135
KY,1498,5256,9711,65849,549537
LA,5098,9555,13016,347430,352610
ME,1052,2464,1516,3440,193258
MD,3372,42215,55550,329526,438450
MA,3168,46285,113059,86636,731311
MI,17536,37985,71241,352193,1275349
MN,17641,45178,38643,65488,675904
MS,844,3688,5408,250329,233271
MO,3222,12311,23492,162645,704271
MT,16340,1548,3094,1080,126294
NE,4545,4831,28712,20411,227043
NV,6599,25848,116212,41062,195680
NH,551,3467,4973,2947,195479
NJ,2419,96895,237262,245015,799162
NM,36124,3833,169453,7833,105823
NY,13838,187777,555189,565041,1542930
NC,20031,27270,90542,429325,793041
ND,8713,862,1463,1233,89962
OH,2529,23207,38676,307994,1435861
OK,115772,9396,47828,68315,384849
OR,12640,23981,73548,16499,413637
PA,2443,41097,100938,287033,1389635
RI,930,5081,25965,13499,112668
SC,1970,7853,21963,287026,376654
SD,13418,1310,2268,1903,106638
TN,1631,11753,26032,230125,650355
TX,13801,127107,1895492,617301,1678050
UT,7661,14328,54436,5497,412875
VT,564,1487,818,1221,94591
VA,5867,55589,77567,314938,720384
WA,27306,80253,125396,58182,730212
WV,328,1675,1536,13024,264652
WI,12748,29662,51302,92552,693767
WY,3033,847,7200,1197,75185
