Year,Public,Private,Total
1955,26.89,31.72,27.43
1960,25.77,30.73,26.36
1965,24.66,28.25,25.07
1970,22.29,23.02,22.36
1971,22.33,22.61,22.36
1972,21.71,21.65,21.71
1973,21.28,21.19,21.27
1974,20.82,20.41,20.78
1975,20.39,19.61,20.31
1976,20.24,19.28,20.14
1977,19.73,18.42,19.58
1978,19.28,18.70,19.22
1979,19.06,18.12,18.96
1980,18.71,17.71,18.59
1981,18.82,17.57,18.66
1982,18.55,17.23,18.38
1983,18.35,16.96,18.16
1984,18.09,16.76,17.91
1985,17.87,16.20,17.65
1986,17.71,15.67,17.44
1987,17.55,15.57,17.29
1988,17.30,15.19,17.03
1989,17.20,15.72,17.01
1990,17.19,15.65,16.99
1991,17.29,15.57,17.07
1992,17.41,16.11,17.25
1993,17.36,16.65,17.27
1994,17.29,16.19,17.15
1995,17.26,15.73,17.06
1996,17.10,15.46,16.89
1997,16.80,15.19,16.60
1998,16.44,14.96,16.26
1999,16.10,14.74,15.93
2000,16.05,14.54,15.86
2001,15.89,14.34,15.69
2002,15.88,14.09,15.65
2003,15.92,13.84,15.66
2004,15.79,13.62,15.51
2005,15.63,13.50,15.36
2006,15.57,13.15,15.27
2007,15.51,12.95,15.19
2008,15.35,12.90,15.04
2009,15.32,12.83,15.02
2010,15.30,12.81,14.99
2011,15.21,12.78,14.92
2012,15.12,12.71,14.83
2013,15.02,12.63,14.74
2014,14.91,12.56,14.63
2015,14.80,12.46,14.53
2016,14.69,12.37,14.43
2017,14.58,12.28,14.31
2018,14.49,12.18,14.23
