State,Average Tuition,High Schools,Elementary
Alaska,5733,5009,0
Alabama,6894,7525,5338
Arkansas,5473,6663,4581
Arizona,10165,18179,5628
California,11984,16092,9841
Colorado,9958,11523,8429
Connecticut,20939,29698,10234
District of Columbia,21855,26535,16005
Delaware,10515,11076,9842
Florida,7589,8662,6489
Georgia,9573,10226,8515
Hawaii,10873,13668,7099
Iowa,5567,10183,3344
Idaho,5467,5723,5183
Illinois,7008,10425,5446
Indiana,6081,9259,4375
Kansas,9160,11041,5023
Kentucky,6020,7306,4912
Louisiana,5395,6073,4906
Massachusetts,19642,28868,11867
Maryland,11599,14778,8917
Maine,22078,28949,7648
Michigan,6580,9848,4516
Minnesota,6323,10122,4073
Missouri,9126,12448,5986
Mississippi,5874,6790,4044
Montana,6818,5599,8525
North Carolina,9179,10000,7792
North Dakota,2525,0,0
Nebraska,3740,0,2898
New Hampshire,18154,25911,10013
New Jersey,12510,17843,7734
New Mexico,7855,10238,5606
Nevada,8969,10200,8012
New York,14369,19633,9267
Ohio,6066,9378,4337
Oklahoma,5794,6897,4521
Oregon,7651,9604,6276
Pennsylvania,9892,13098,6991
Rhode Island,12831,22560,7199
South Carolina,7157,6007,9329
South Dakota,3074,0,2498
Tennessee,8339,8732,7792
Texas,7948,8989,6834
Utah,9096,10473,6341
Virginia,12329,15120,9144
Vermont,20071,35562,9138
Washington,9218,10431,8732
Wisconsin,4242,7599,3236
West Virginia,6045,6776,3705
Wyoming,8558,0,0
