State,Public in District,Public in state,Private
AL,4237,9470,20556
AK,4064,6138,18845
AZ,2438,10398,28504
AR,3101,7567,20743
CA,1429,9173,38511
CO,3902,9487,37064
CT,3866,10620,40017
DE,3471,11448,14786
FL,3174,6351,28199
GA,3576,8094,29578
HI,3492,9740,15417
ID,3761,6602,6963
IL,3526,12770,32547
IN,4152,9023,33044
IA,4541,7857,29650
KS,2628,8086,24112
KY,4461,9188,25275
LA,3683,7314,33340
ME,3482,9422,35174
MD,4122,8724,38291
MA,5325,10951,40748
MI,3365,11909,22260
MN,5391,10527,35242
MS,2526,6861,15323
MO,3096,8383,26623
MT,3213,6279,21800
NE,2749,7404,22998
NV,2700,6418,28999
NH,6500,14712,34952
NJ,4434,13002,34741
NM,1645,6190,35224
NY,4851,7292,36846
NC,2305,6677,30291
ND,4192,7513,16953
OH,4484,10100,30977
OK,3493,6895,23897
OR,4555,8932,36614
PA,4695,13246,37198
RI,3950,10934,36308
SC,4632,11449,23417
SD,5683,7653,25200
TN,3948,8541,25686
TX,2286,8830,31172
UT,3449,6177,6462
VT,7320,14419,37285
VA,4549,10899,28395
WA,4291,10846,35527
WV,3468,6661,25019
WI,4307,8781,30930
WY,2719,4646,0
